study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
repeat elements study in pluripotent stem cells [rna-seq],null,stem,null,null,atom
altered epigenetic regulation of homeobox genes in human oral squamous cell carcinoma cells,oral cavity squamous cell carcinoma,null,cell,human,null
rna-seq analysis of nkx2.2 knockdown in human pancreatic islets,null,null,null,human,rna
cell type-specific ribosome profiling in vivo.,null,null,cell,cell,null
rna-seq of differentially-derived macrophages,null,null,null,null,rna
rna-sequencing study of peripheral blood monocytes for chronic periodontitis,chronic periodontitis,peripheral blood,blood,blood monocytes,rna
dusp4 deficiency due to promoter hypermethylation drives oncogenic jnk signaling and tumor cell survival in diffuse large b-cell lymphoma,neoplasm (disease),b-lymphocyte,signaling,cell,null
the role of histone demethylase kdm5c in super-enhancer activation,null,null,rostral octaval nerve motor nucleus,null,role
the mrna expression analysis of psoriasis skin lesion mesenchymal stem cell,psoriasis,skin,skin epidermis,psoriasis,null
mrna-seq of human severe pneumonia,pneumonia,null,null,human,null
rnas-seq of bupivacaine treatment of human neuroblastoma cells,neuroblastoma,null,null,human,bupivacaine
analysis of the rna-seq data of castration resistant prostate cancer (crpca),prostate cancer,prostate gland,prostate gland,prostate cancer,rna
koref,null,null,null,null,null
impact of genomic polymorphisms on the repertoire of human mhc class i-associated peptides,null,null,null,human,peptide
an extensive program of periodic alternative splicing linked to cell cycle progression,null,null,cell cycle,cell,null
wnt addiction of genetically defined cancers reversed by porcn inhibition,null,null,null,addiction,null
deletion of dxz4 on the human inactive x chromosome eliminates superdomains and impairs gene silencing,null,null,null,human,null
transcriptome profile and gene expression in the human placenta,null,placenta,placenta,human,null
"human embryonic stem cell, rhesus embryonic stem cell and mouse transchromosomic (hsa11) embryonic stem cell (with and without ectopic znf91 expression) rna-seq",null,hesc cell,embryonic stem cell,human,rna
identification of mrnas with reduced ribosomal loading upon knock-down of translation factor dap5 from hescs.,null,null,null,null,null
small molecule inhibition of erk dimerization prevents tumorigenesis by ras-erk pathway oncogenes,null,null,molecule,null,molecule
divergent expression and metabolic functions of human glucuronosyltransferases through alternative splicing,null,null,null,human,null
cd13 and ror2 permit isolation of highly enriched cardiac mesoderm from differentiating human embryonic stem cells,null,mesoderm,cardiogenic splanchnic mesoderm,human,null
pge2 mediated gene expression changes in human cervical stromal cells,null,null,null,human,null
"identification of mef2b, ebf1, and il6r as chromosome bound targets of ebna1 essential for ebv infected b-lymphocyte survival",null,b-lymphocyte,b cell,null,null
the genomic landscape of nasopharyngeal carcinoma,nasopharyngeal carcinoma,null,null,nasopharyngeal carcinoma,null
homo sapiens sequencing of genome and transcriptome of a single individual,null,null,homo sapiens,null,null
epigenomic landscapes of hesc-derived neural rosettes,null,null,null,null,null
genomic dynamics associated with malignant transformation in idh1 mutated gliomas,null,null,null,malignant transformation,null
rna-seq expression profiling of hepatocellular carcinoma and adjacent non-tumor liver tissues,hepatocellular carcinoma,liver,liver,hepatocellular carcinoma,rna
pathways disrupted in human als motor neurons identified through genetic correction of mutant sod1,amyotrophic lateral sclerosis,null,null,human,null
sequencing_of_small_transcript_processed_rnas_from_t_cells_that_are_involved_in_gene_expression_regulation_and_control_of_the_immune_response_,null,null,null,null,null
rna-seq of achilles tendon from young and old donors to study age-related changes in tendon,null,tendon,calcaneal tendon,null,rna
mir-515 and migration in cancer,cancer,null,null,cancer,null
regulation of constitutive and alternative messenger rna splicing across the human transcriptome by prpf8 is determined by 5' splice site strength,null,null,null,human,rna
isoform-specific depletion of u2af1,null,null,null,null,null
the placental gene peg10 promotes progression of neuroendocrine prostate cancer,prostate cancer,prostate gland,prostate gland,prostate cancer,null
identification of amkl deregulated genes by rnaseq,acute megakaryoblastic leukemia,null,null,null,null
ascl1 mediates neuronal differentiation of primary gbm stem cell cultures upon notch signalling blockade [rna-seq],glioblastoma (disease),stem,glomerular basement membrane,cell,rna
identifying ascl1 target genes in primary gbm stem cell cultures [rna-seq],glioblastoma (disease),stem,glomerular basement membrane,cell,rna
rna-seq of rnase r treated poly(a)-/ribo- rnas from h9 cells,null,null,mature neutrophil,null,rna
a novel population of human cardiac resident mesenchymal stem cells,null,stem,null,human,null
cerebral organoids recapitulate epigenomic signatures of the human fetal brain,null,brain,brain,human,null
illumina human polycystic liver disease and normal biliary stem cell rnaseq,isolated polycystic liver disease,liver,liver,human,null
hormone induced repression of genes requires brg1-mediated h1.2 deposition at target promoters,null,null,null,hormone,null
t-bet recruits p-tefb to super-enhancers to regulate t helper cell differentiation (rna-seq),null,helper t-lymphocyte,cell differentiation,cell,glycine betaine
comprehensive analysis of cancer-stromal interactome,cancer,null,null,cancer,null
"rna-seq analysis of ht-29, mcf10a, and mda-mb-436 cells",null,null,null,null,rna
gene expression analysis of human spinal motor neurons (mn) differentiated from als patient derived ipsc,amyotrophic lateral sclerosis,null,null,human,null
distinct structural transitions of chromatin topological domains coordinate hormone-induced gene regulation,null,null,null,hormone,null
microrna target site identification by integrating sequence and binding information,null,null,null,null,site
hematopoietic stem/progenitor cell expansion without differentiation is achieved in zwitterionic hydrogels,null,stem,cell,cell,null
mrna profiles of wtap sirna-treated huvecs,null,null,null,null,null
novel bet protein proteolysis targeting chimera (bet-protac) exerts superior lethal activity than bromodomain inhibitor (beti) against post-myeloproliferative neoplasm (mpn) secondary (s) aml cells,myeloproliferative neoplasm,null,protein,protein,glycine betaine
gene expression analysis of human adenomas.,adenoma,null,null,human,null
gene expression profiling of papillary thyroid cancer from central and invasive regions,thyroid gland papillary carcinoma,thyroid gland,thyroid gland,papillary thyroid cancer,null
developing a novel two-dimensional culture system to enrich human prostate luminal progenitors that can function as a cell of origin for prostate cancer,prostate cancer,prostate gland,anatomical system,culture,phenobarbital
zmynd8 reads the dual histone mark h3k4me1-h3k14ac to antagonize the expression of metastasis-linked genes,null,null,null,metastasis,null
gene expression in brafv600e thyrocyte,null,thyroid epithelial cell,null,null,null
epigenetic targeting of immunocheckpoint pd-l1 by bet bromodomain inhibition,null,null,null,null,glycine betaine
rna-sequencing analysis of non silencing or ilf2 shrna-transduced h929 cells,null,null,null,null,rna
disease-associated snps from non-coding regions in juvenile idiopathic arthritis are located within or adjacent to functional genomic elements of human neutrophils and cd4+ t cells [rna-seq],disease or disorder,juvenile,juvenile,juvenile idiopathic arthritis,atom
transcriptomic analysis of yap1 knockdown glioblastoma cells,adult glioblastoma,null,null,glioblastoma,null
messenger rna expression after mk2206/dmso treatment of t47d cells,null,null,null,null,rna
integrative genomic and transcriptomic analysis identified candidate genes implicated in the pathogenesis of hepatosplenic t-cell lymphoma,hepatosplenic t-cell lymphoma,t-lymphocyte,t cell,hepatosplenic t-cell lymphoma,null
deep sequencing reveals novel set7 networks,null,null,null,null,null
sox15 governs a transcriptional program in human esophageal stratified epithelium and in a subset of esophageal adenocarcinomas,adenocarcinoma,stratified epithelium,multilaminar epithelium,human,subset
rna sequencing analysis generates comprehensive transcriptomic landscape and identifies ptk6 as a novel tumor suppressor gene in esophageal squamous cell carcinoma,neoplasm (disease),null,cell,esophageal squamous cell carcinoma,rna
"red-ml: a novel, effective rna editing detection method based on machine learning",null,null,red,null,rna
targeted differentiation of regional ventral neuroprogenitors and related neuronal subtypes from human pluripotent stem cells,null,stem,null,human,null
"rna-seq analysis in cornea epithelial cells (cecs), skin epithelial cells (secs), lscs after knocking down pax6 (3-d shpax6 lscs) and sescs transduced with pax6(3-d pax6+ sescs) upon 3-d differentiation",skin neoplasm,cornea,cornea,null,rna
global intron retention mediated gene regulation during cd4+ t cell activation,null,t-lymphocyte,t cell activation,cell,null
dicer- and ago3-dependent generation of retinoic acid-induced dr2 alu rnas regulates human stem cell proliferation (rna-seq),null,stem,stem cell,human,retinoic acid
aml-twins-pt_leukemia,acute myeloid leukemia,null,null,leukemia,null
transcriptome landscape of the human placenta,null,placenta,placenta,human,null
tgirt-seq profiling of human plasma nucleic acids,null,blood plasma,blood plasma,human,nucleic acid
homo sapiens strain:hela cell transcriptome or gene expression,null,hela cell,homo sapiens,strain,null
replication defective viral products exploit a cellular pro-survival mechanism to establish persistent infections,null,null,null,null,null
rna-seq analysis facilitates quantitative analysis to identify degs in lung cancer cell lines regulated by s100a7a introduction in comparison with cl1-0 control and s100a7a knockdown in comparison with cl1-5 control.,lung cancer,lung cancer cell,lung,lung cancer,rna
apparently balanced chromosomal rearrangements (bcrs) as a model for random mutagenesis in humans,null,null,null,null,null
psychoactive pharmaceuticals induced the pattern of gene expression in human neuronal cells associated with neurological disorders including asd,disease or disorder,null,null,human,null
rna splicing alteration on glioblastoma and normal neural stem cells,adult glioblastoma,stem,null,glioblastoma,rna
par-clip-seq reveals rnas directly interacting with ctcf in human transformed cell line u2os,null,null,cell,human,null
transcriptome and translatome profiling of caco-2 cells,null,null,null,null,null
patient-derived xenograft platform for metastatic melanoma: rna sequencing of 4 melanoma pdx samples,metastatic melanoma,null,null,metastatic melanoma,rna
zikv can infect human cd14+ monocytes and update multiple cellular pathways,null,null,null,human,null
genome-wide expression profiling of b lymphocytes reveals il4r increase in allergic asthma,allergic asthma,null,null,lymphocytes,null
study of initiating ribosomes in human and mouse cells,null,null,null,human,null
rna-seq of human hela cell,null,hela cell,cell,human,rna
tristetraprolin disables prostate cancer maintenance by impairing proliferation and metabolic function,prostate cancer,prostate gland,prostate gland,prostate cancer,function
dna topoisomerase i and antisense transcription,null,null,null,null,null
epigenetic repogramming by an environmental carcinogen through chromatin domain disruption [rna-seq],null,null,null,null,rna
alternative poladenylation of tumor suppressor genes in small intestinal neuroendocrine tumors,neoplasm (disease),null,null,null,null
fmr1 targets distinct mrna sequence elements to regulate protein expression [par-clip],null,null,protein,protein,atom
next-generation transcriptome sequencing (rna-seq) of human endobronchial biopsies: asthma vs controls,asthma,null,null,human,rna
a paracrine amplification loop between lsd1 and tgf ß1 promotes emt of gastric cancer,"sarcoidosis, susceptibility to, 1",null,thalamic eminence,gastric cancer,null
genome-wide analysis of somatic copy number alterations and gene expression in metastatic melanoma: rna-seq,metastatic melanoma,null,null,metastatic melanoma,rna
mir-27a-3p in peripheral blood mononuclear cells as a potential marker for pancreatic cancer screening,malignant pancreatic neoplasm,peripheral blood,blood,pancreatic cancer,null
a coding sequence-embedded principle governs translational reading frame fidelity,null,null,null,null,null
global mapping of translation initiation sites in mammalian cells at single-nucleotide resolution,null,null,null,null,nucleotide
transcriptome of uv treated xpd mutant cells (homo sapiens),xeroderma pigmentosum group d,null,homo sapiens,null,null
a multiplexed single-cell crispr screening platform enables systematic dissection of the unfolded protein response,null,null,cell,cell,protein
"base resolution maps of mutations, 5-methylcytosine and 5-hydroxymethylcytosine, and transcriptome of blood, tumour and margin samples from a glioblastoma multiforme patient",glioma susceptibility 1,blood,blood,glioblastoma multiforme,null
transcription profiling by rna-seq,null,null,null,null,rna
the architecture and evolution of cancer neochromosomes,cancer,null,null,cancer,null
mycoses in patients with septic shock,fungal infectious disease,null,null,septic shock,null
hx1,null,null,null,null,null
rna-seq of human microvascular lung endothelial cells,lung neoplasm,lung,lung,human,rna
interplay of trim28 and dna methylation in controlling human endogenous retroelements,null,null,null,human,null
ribosome profiling on sections taken from a kidney tumor,kidney neoplasm,kidney,kidney,kidney tumor,null
transcriptional profiling of human fibroblasts,null,null,null,human,null
rna profiling of pdx1+ pancreatic progenitors before or after co-culture with different types of cells,null,coculture,null,culture,rna
gastric cancer targeted rna-seq,gastric cancer,null,null,gastric cancer,rna
genes regulated by dimethyl-2-ketoglutarate (dkg) in breast cancer cells,breast cancer,breast,breast,breast cancer,null
knuuttila et al.   castration induces up-regulation of intratumoral androgen biosynthesis and androgen receptor expression in an orthotopic vcap human prostate cancer xenograft model.  am j pathol. 2014 aug;184(8):2163-73. doi: 10.1016/j.ajpath.2014.04.010. epub 2014 jun 17.,prostate cancer,prostate gland,prostate gland,receptor,androgen
rna-seq of ym155 treated kmb7 wild-type and slc35f2 knock-out cells,null,null,null,null,rna
identification of target genes of taz in the prostate cancer cells,prostate cancer,prostate gland,prostate gland,prostate cancer,null
a balance between secreted inhibitors and edge-sensing controls gastruloid self-organization,null,null,null,organization,null
srsf2 mutations impair hematopoiesis and alter exon recognition,null,null,null,null,null
healthy donor pbmc rna-seq with or without interferon-alpha stimulation,null,peripheral blood mononuclear cell,null,null,rna
expression of gallstone disease-associated genes in non-diseased and diseased gallbladder and liver samples,disease or disorder,gall bladder,gall bladder,null,null
rna seq of hgps treated cells,hutchinson-gilford progeria syndrome,null,null,null,rna
medial ganglionic eminence and cortical organoids model human brain development and interneuron migration [rna-seq],null,brain,medial ganglionic eminence,human,rna
poor responses to tyrosine kinase inhibitors in a child with precursor b-cell acute lymphoblastic leukemia with snx2-abl1 chimeric transcript,primary interstitial lung disease specific to childhood,juvenile,b cell,cell,tyrosine
noncoding somatic and inherited single-nucleotide variants converge to promote esr1 expression in breast cancer,inherited,breast,breast,breast cancer,nucleotide
complete hematologic response of early-t-cell progenitor acute lymphoblastic leukemia to the gamma-secretase inhibitor bms-906024: genetic and epigenetic findings in an outlier case,acute lymphoblastic leukemia (disease),t-lymphocyte,t cell,cell,null
mir-26 dampens il-6 production by down-regulating tnf-a/nf-kb signaling through silencing hmga1 and malt1 and not by directly targeting il-6 mrna,null,null,signaling,null,null
transfected hek293 transcriptome or gene expression,null,null,null,null,null
rna-sequencing of healthy human skeletal myocytes,null,null,null,human,rna
extensive overlap of the stat6 and rxr cistromes in the active enhancer repertoire of human cd14+ monocyte-derived differentiating macrophages,null,monocyte,monocyte,human,null
"chromatin environment, transcriptional regulation and splicing distinguish lncrnas and mrnas [nucfrac]",null,null,null,null,null
increased wnt and notch signaling: a clue to the renal disease in schimke immuno-osseous dysplasia? [rna-seq],kidney disease,null,signaling,renal disease,rna
alk-ati alk variant raw sequence reads,null,null,type i pneumocyte,null,null
m6a mapping in mouse rna (mouse liver and human brain),null,liver,liver,human,rna
lncrnas at 13q14.3,null,null,null,null,null
zeb2 function in ewing sarcoma,ewing sarcoma,null,null,sarcoma,function
ribosome profiling upon inhibition of eif4a,null,null,null,null,null
rna-seq and microarray in transcriptome profiling of anterior cruciate ligament tears: implications for prognostic biomarkers discovery,null,null,anterior cruciate ligament of knee joint,null,rna
homo sapiens strain:mcf7 transcriptome or gene expression,null,null,homo sapiens,strain,null
ectoderm specification of h1 human embryonic stem cells,null,ectoderm,ectoderm,human,null
transcriptome analysis of oxdative-stress induced senescence in human astrocytes,null,null,null,stress,null
gene expression profiles of blood vascular endothelial cells (becs) in response to larminar shear flow [rna-seq],endotheliitis,blood,blood,null,rna
we performed two independent infection on jurkat t cells by barcoded hiv (2 biological replicates). each sample preparation and data analysis was done in parallel in 2 replicates.,infectious disease,null,null,infection,null
basic: b-cell receptor (bcr) assembly from single cell rna-seq,null,b-lymphocyte,b cell,cell,rna
the bromodomain protein brd4 regulates splicing during heat shock,null,null,protein,protein,protein
"diarrhea in lymphocytic colitis: erk1/2-dependent enac dysregulation and claudin-4-, -5- and -8-related barrier defects",diarrheal disease,null,null,diarrhea,null
genome-wide rna-expression analysis after p53 activation in colorectal cancer cells.,colorectal cancer,null,null,colorectal cancer,rna
identification and characterization of circular rnas as a new class of putative biomarkers in human blood,null,blood,blood,human,null
human lens epithelial cells treated by nc raw sequence reads,null,lens,lens of camera-type eye,human,null
global gene expression measurements in stem cell derived motor neurons treated with various neurotrophic compounds,null,stem,stem cell,cell,null
immunogenicity of somatic mutations in gastrointestinal cancers,null,null,null,null,null
transcriptome sequencing of trichomonas vaginalis during infection of human cells.,infectious disease,null,null,infection,null
oxidative stress related long non-coding rnas (lncrnas) in human umbilical vein endothelial cells,endotheliitis,umbilical vein,umbilical vein,oxidative stress,null
identification of mrnas and lincrnas associated with lung cancer progression using next-generation rna sequencing from laser micro-dissected archival ffpe tissue specimens,lung cancer,lung,lung,lung cancer,rna
human 3'' race,null,null,null,human,null
rna-seq analysis of human cardiosphere cells with different tubule supportive potential,null,null,null,human,rna
the different gene expression profile of knockdown lrp5/6 or knockdown ß-catenin in hepg2 cell line through rna-seq,null,hep-g2 cell,cell,cell,rna
next generation sequencing of gene expression changes in u2os osteosarcoma cells with pml silencing,pediatric osteosarcoma,polymorphonuclear leukocyte,null,osteosarcoma,null
nascent rna-seq in kasumi-1 cells,null,null,null,null,rna
the lncrna lust promotes ccics self-renewal stimulating the wnt/b-catenin signaling activation [rna-seq],null,null,signaling,null,rna
micrornas with an aagugc seed motif constitute an integral part of a signaling network driving nsclc cell proliferation,non-small cell lung carcinoma (disease),seed,signaling,cell,null
human induced pluripotent stem cells transcriptome or gene expression,null,stem,null,human,null
stranded rna-seq of h9 cells,null,null,null,null,rna
rna-seq of retinal tissue from a human eye,null,eye,tissue,tissue,rna
hesc-derived liver transcriptome analysis,null,liver,liver,null,null
dynamic distribution of linker histone h1.5 in cellular differentiation,null,null,null,null,null
rna-seq and expression microarray highlight different aspects of the fetal amniotic fluid transcriptome [rna-seq],null,amniotic fluid,amniotic fluid,null,rna
term placenta tissue-level transcriptome,null,placenta,placenta,tissue,null
cell-type restricted activity of hnrnpm promotes breast cancer metastasis via regulating alternative splicing,breast cancer,breast,cell,cell,null
next generation sequencing facilitates quantitative analysis of normal human kidney transcriptomes,null,kidney,kidney,human,null
modeling fanconi anemia pathogenesis and therapeutics  using integration-free patient ipscs [rna-seq],fanconi anemia,null,null,anemia,rna
bcl6-centric reorganization of the genome during b cell affinity maturation,null,b-lymphocyte,b cell,cell,null
rnaseq sequencing of 5 unrelated individuals to study rna-dna differences in human mitochondria restore ancestral form of 16s ribosomal rna,null,null,null,human,rna
inhibition of bet protein brd4 activity synergizes with cisplatin in ovarian cancer by targeting aldh activity through an aldh1a1 super-enhancer and the associated enhancer rna,ovarian cancer,null,protein,protein,glycine betaine
case report - tnbc tp53 positive patient,null,null,null,null,null
"integrative dna, rna and protein evidence connects treml4 to coronary artery calcification",calcinosis,coronary artery,protein,protein,rna
supersage evidence for cd14++cd16+ monocytes as a third monocyte subset,null,monocyte,monocyte,monocytes,subset
transcriptome of sfn-depeleted human organotypic epidermis,null,epidermis,skin epidermis,human,null
long noncoding rna hnf1a-as1 regulates proliferation and migration in esophageal adenocarcinoma  cells,"asthma-related traits, susceptibility to, 1",null,proliferative region,esophageal adenocarcinoma,rna
a global analysis of tandem 3''utrs in eosinophilic chronic rhinosinusitis with nasal polyps,chronic rhinosinusitis,null,null,chronic rhinosinusitis with nasal polyps,null
chd1 loss sensitizes prostate cancer to dna damaging therapy by promoting error-prone double-strand break repair,prostate cancer,prostate gland,prostate gland,prostate cancer,null
ifn-? stimulated mscs rna-seq profiling,null,null,null,null,rna
pericentromeric satellite repeat expansions through rna-derived dna intermediates in cancer,cancer,null,null,cancer,rna
irna-seq: computational method for genome wide assessment of acute transcriptional regulation from total rna-seq data,null,null,null,null,rna
"transcriptome of normal,paracancerous and cancerous colon tissues based on rna-seq method",null,colon,colon,null,rna
altered antisense-to-sense transcript ratios in breast cancer: assage,breast cancer,breast,breast,breast cancer,null
rna-seq analysis upon arid1b overexpression,null,null,null,null,rna
identifying glioblastoma gene networks based on hypergeometric test analysis,adult glioblastoma,null,exoskeleton,glioblastoma,null
rna-sequencing analysis of high glucose treated monocytes reveals novel transcriptome signatures and associated epigenetic profiles,null,null,null,glucose,rna
control of vegf-a trancriptional programs by pausing and genomic compartmentalization,null,null,null,null,null
whole transcriptomic sequencing of metastatic castration resistant prostate cancer samples,prostate cancer,prostate gland,prostate gland,prostate cancer,null
effect of prdm11 depletion in u2932 cells,null,null,null,null,null
maris: method for analyzing rna following intracellular sorting [rna-seq],null,null,intracellular,null,rna
"spatially resolved, highly multiplexed rna profiling in single cells",null,null,null,null,rna
transcriptional profiling of 5ilaf hpscs (primed to naive converted hpscs).,null,null,null,null,null
widespread influence of 3'-end structures on mammalian mrna processing and stability [artificial-3''-end],null,null,null,null,null
an integrated metabolic atlas of clear cell renal cell carcinoma,nonpapillary renal cell carcinoma,null,vertebral bone 1,clear cell renal cell carcinoma,null
disease model of gata4 mutation reveals transcription factor cooperativity in human cardiogenesis [rna-seq],disease or disorder,null,null,human,rna
bromodomain-containing-protein 4 (brd4) regulates rna polymerase ii serine 2 phosphorylation in human cd4+ t cells,null,null,protein,protein,protein
transcriptomic profiling of a glioblastoma multiforme patient with matched control brain tissue,glioma susceptibility 1,brain,brain,glioblastoma multiforme,null
primary human trophoblast transcriptomes,null,trophoblast,trophoblast,human,null
an alternative pluripotent state confers interspecies chimaeric competency [rna-seq],null,null,null,null,rna
8p loss of heterozygosity triggers metastasis and drug resistance,null,null,null,metastasis,null
lens epithelial cells treated by mir-184 raw sequence reads,null,lens,lens of camera-type eye,null,null
human lens epithelial cells treated by m-mir-184 raw sequence reads,null,lens,lens of camera-type eye,human,null
genome-wide profiling analysis reveals annexin a6 is a novel ezh2 target gene involving gastric cellular proliferation,null,null,proliferative region,null,null
virus mimicry in the tumor microenvironment activates rig-i through unshielding of endogenous rna in exosomes [exorna-seq],neoplasm (disease),null,null,virus,rna
global reduction in h3k27me3 and dna hypomethylation define poorly prognostic pediatric posterior fossa ependymomas,null,null,posterior cranial fossa,null,null
the age and genomic integrity of neurons after cortical stroke in humans,cerebrovascular disorder,null,null,stroke,null
whole genome sequencing of (yri) yoruba hapmap population,null,null,null,null,null
rna-sequencing of human intestinal enteroids infected with or without human rotavirus (strain ito),ito hypomelanosis,null,null,human,rna
epigenomic landscape during organ formation in human early embryos,null,null,organ,human,null
"huvec treated with ca, aba, abtaa",null,huvec cell,null,null,null
"whole genome sequencing of (lwk) luhya in webuye, kenya hapmap population",null,null,null,null,null
profiles of long noncoding rnas in human naive and memory t cells,null,null,memory,human,null
rna-sequencing analysis of quiescent and activated human skeletal muscle stem cells,null,skeletal muscle,skeletal muscle organ,human,rna
vegf promotes rnapii pausing release through ets1 to stimulate angiogenesis,null,null,angiogenesis,null,null
next generation sequencing of pattern ii demyelinating brain lesions from a multiple sclerosis patient,multiple sclerosis,brain,brain,multiple sclerosis,null
whole rna-seq on clones of gm12878 lymphoblastoid clones df1 and df2,null,null,null,null,rna
pnet animal model: new insights,primitive neuroectodermal tumor,animal,multicellular organism,animal,null
small rna sequencing of plasma rna,null,blood plasma,blood plasma,null,rna
genes and pathways regulated by androgens as possible contributors to the male excess observed in autism [rna-seq],autism (disease),null,male organism,androgens,androgen
co-ordinate inhibition of autism candidate genes by topoisomerase inhibitors [seq],autism (disease),null,null,autism,null
identification and characterization of mcf01a circular rnas [rna-seq],null,null,null,null,rna
discovery of novel isoforms of huntingtin reveals a new hominid-specific exon,null,null,null,null,null
different tcm syndromes in gastric cancer using nest-generation sequencing,syndromic disease,null,null,gastric cancer,null
expression by cd133+ cells isolated from the adult human exocrine pancreas,pancreatic neoplasm,adult,adult organism,human,null
circular rnas are enriched in anucleate platelets and are a signature of transcriptome degradation,null,null,null,null,null
rnaseq analysis of human monozygotic twins at the blastocyst stage - a case study,null,blastocyst,blastocyst,human,null
vibrio vulnificus transcriptome or gene expression,null,null,null,null,null
smo variants explain the majority of drug resistance in basal cell carcinoma [rna-seq],skin basal cell carcinoma,basal cell,basal cell,drug resistance,rna
intrinsic histone acetyltransferase activity of brd4 is responsible for nucleosome eviction and transcriptional activation,urethral intrinsic sphincter deficiency,null,null,activity,null
"combination scaffolds of salmon fibrin, hyaluronic acid, and laminin for human neural stem cell tissue engineering",null,neural stem cell,hyaluronic acid,fibrin,hyaluronic acid
generation of kras signatures using immortalized isogenic lung cells.,lung neoplasm,lung,lung,null,null
lncrna downregulation,null,null,null,null,null
widespread influence of 3'-end structures on mammalian mrna processing and stability [cenpb-3''-end-ko],null,null,null,null,null
homo sapiens strain:hep g2 transcriptome or gene expression,hepatoerythropoietic porphyria,null,homo sapiens,strain,null
transcriptome sequencing of human fetal heart,null,heart,heart,human,null
ribosomal profiling in cystic fibrosis bronchial epithelial cells,cystic fibrosis,null,null,cystic fibrosis,null
"mir-146a-5p circuitry uncouples cell proliferation and migration, but not differentiation, in human mesenchymal stem cells",null,stem,cell,cell,null
compared performance of affymetrix hta arrays and illumina rnaseq for the analysis of tumours [rna-seq],null,null,null,null,rna
rna-seq detects pharmacological inhibition of epstein-barr virus late transcription during spontaneous reactivation.,null,null,null,virus,rna
integrated detection of both 5-mc and 5-hmc by high-throughput tag sequencing technology highlights methylation reprogramming of bivalent genes during cellular differentiation [dge],null,null,null,null,null
rna-seq of mda-mb231 cells harboring angptl2 knockdown (mb231/miangptl2),null,null,null,null,rna
transcriptome or gene expression,null,null,null,null,null
small molecule inhibitor of bcl2 in combination with rchop is effective in cd20 negative lymphoma,lymphoma,null,molecule,lymphoma,molecule
human alveolar epithelial cell line a549 transcriptome,null,alveolar epithelial cell line,pneumocyte,human,null
"suppression of the antiviral response by an influenza ""histone mimic""",influenza,null,null,influenza,null
whole exome and transcriptome sequencing of thymic adenocarcinoma,thymus gland adenocarcinoma,null,null,adenocarcinoma,null
analysis of viral and host rna populations in the context of in vitro paramyxovirus infection.,infectious disease,null,null,infection,rna
effect of hypoxia and atpenin a5 on the human monocyte transcriptome,null,monocyte,monocyte,hypoxia,null
mapping epigenomic type-specific differences occurring during hematopoiesis [rna-seq],null,null,null,null,rna
shewanella oneidensis belwo-background gamma radiation transcriptome,null,null,null,null,null
transcriptome sequencing of progenitor and differentiated human epidermal layers,null,null,null,human,null
expression profiling by high throughput sequencing,null,null,null,null,null
vascular niche induction of hematopoietic progenitors from pluripotent stem cells,null,stem,null,null,null
"xx-650-23, an inhibitor of creb-cbp interaction, effect on acute myeloid leukemia cell line",red color blindness,acute myeloid leukemia cell line,cell,acute myeloid leukemia,null
illumina total stranded rna sequencing reads from 15 postmortem cervical spinal sections (7 als and 8 healthy controls),amyotrophic lateral sclerosis,null,null,als,rna
"the splicing factor rbm4 controls apoptosis, proliferation, and migration to suppress tumor progression",neoplasm (disease),null,proliferative region,apoptosis,null
human corneas treated with 'cold plasma' (apcp) in presence or absence of nac,chronic obstructive pulmonary disease,blood plasma,cornea,human,null
ultra-deep proteome and transcriptome mapping of a human cancer cell                     line,cancer,null,malignant cell,human,null
hipsci___rnaseq___healthy_volunteers,null,null,null,null,null
single-cell rna-seq reveal lineage formation and x-chromosome dosage compensation in human preimplantation embryos,null,null,cell,cell,rna
human developmental biology resource (hdbr) expression resource-rnaseq,null,null,null,human,null
single-cell rna-seq analysis of human pancreas from healthy individuals and type 2 diabetes patients,pancreatic neoplasm,pancreas,cell,cell,rna
derivation of hla types from shotgun sequence datasets,null,null,null,null,null
gse35585: rip-seq from encode/suny albany,null,null,null,null,null
transcriptome proflings of 347 single cells from 10 distinct populations,null,null,null,null,null
leucegene: aml sequencing (part 3),acute myeloid leukemia,null,null,null,null
single cell rna-seq data of human hescs to evaluate oscope - a statistical pipeline for identifying oscillatory genes in unsynchronized single cell rna-seq,null,null,cell,cell,rna
a survey of human brain transcriptome diversity at the single cell level,null,brain,brain,human,null
single cell rna-sequencing of human tonsil innate lymphoid cells (ilcs),null,tonsil,cell,cell,rna
single cell rna sequencing of primary breast cancer.,breast cancer,breast,cell,cell,rna
single-cell transcriptomics uncovers distinct molecular signatures of stem cells in chronic myeloid leukemia,"chronic myelogenous leukemia, bcr-abl1 positive",stem,cell,cell,null
"single cell rna-seq study of midbrain and dopaminergic neuron development in mouse, human, and stem cells",null,midbrain,cell,cell,rna
towards therapeutic application of pronuclear transfer to prevent transmission of mitochondrial dna disease,disease or disorder,null,null,null,null
batch effects and the effective design of single-cell gene expression studies,null,null,cell,cell,null
genetic ancestry and natural selection drive population differences in immune responses to pathogens in humans,inherited,null,null,null,null
next generation sequencing (rnaseq) of non-small cell lung cancer,non-small cell lung carcinoma (disease),lung,cell,non-small cell lung cancer,null
